timestamp,velocity_x,velocity_y,velocity_z,angular_velocity_x,angular_velocity_y,angular_velocity_z,control_steer
18155925.07,0.014033221,4.82204771,0.051483069,-0.197023258,0.065170765,-0.001530525,5.33E-07
18155925.13,0.014769446,4.832449436,0.050903972,-0.156259656,0.124720745,0.00077805,5.33E-07
18155925.22,0.014752681,4.842327118,0.050027736,-0.057865765,0.060501151,0.000375437,5.33E-07
18155925.31,0.014347546,4.839111328,0.048391312,-0.071842767,0.025083497,-0.000356049,-4.65E-06
18155925.39,0.014069472,4.82653141,0.048839066,-0.076431677,0.008211968,-0.000187937,-1.08E-06
18155925.49,0.013951732,4.822112083,0.048127055,-0.042710219,0.000587397,-0.000236307,-1.08E-06
18155925.55,0.013832667,4.804363728,0.048467197,-0.073384479,-0.002994023,0.000102149,2.38E-06
18155925.55,0.013832667,4.804363728,0.048467197,-0.073384479,-0.002994023,0.000102149,2.38E-06
18155925.61,0.013773954,4.787741661,0.048917301,-0.082349621,-0.003885549,-4.98E-05,-3.70E-09
18155925.71,0.013734099,4.775630951,0.048408456,-0.058894191,-0.004039064,-0.00010798,-3.70E-09
18155925.83,0.01315668,4.566735744,0.046067394,-0.798851252,-0.001433822,0.00082547,-3.70E-09
